method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,confidence,uec,ece_iou50,n_rows,n_samples
flow_warp,occlusion,5,all,0.4156682828359247,0.648408729068013,0.5320385059519688,0.9073852295409182,0.0304533789563729,0.0050185343598517,0.8260621613915027,0.0019245948228192,0.0,1.0,,0.6139150261878967,17535,3507
flow_warp,occlusion,5,1,0.5352437496832572,0.8112259962503152,0.6732348729667863,0.9617907043056744,0.0134017678927858,0.0019960079840319,0.8069575135443399,0.0019245948228192,0.0,1.0,,0.3167949914932251,3507,3507
flow_warp,occlusion,5,2,0.4565347692027665,0.718269088546652,0.5874019288747092,0.9318505845451952,0.0213857998289136,0.003706871970345,0.8152266894781864,0.0019245948228192,0.0,1.0,,0.5189620852470398,3507,3507
flow_warp,occlusion,5,3,0.4010746366657872,0.6358859192521586,0.5184802779589728,0.9110350727117196,0.0282292557741659,0.0051325919589392,0.8257770173937838,0.0019245948228192,0.0,1.0,,0.6629598140716553,3507,3507
flow_warp,occlusion,5,4,0.3590822534863509,0.5670713855808518,0.4630768195336013,0.8813800969489592,0.037353863701169,0.0065583119475335,0.8360422013116624,0.0019245948228192,0.0,1.0,,0.7601938843727112,3507,3507
flow_warp,occlusion,5,5,0.3264060051414618,0.5095912557100868,0.4179986304257743,0.8508696891930425,0.0518962075848303,0.0076988879384088,0.846307385229541,0.0019245948228192,0.0,1.0,,0.8106644153594971,3507,3507
linear_centroid,blur,5,all,0.593941043518728,0.7243995905004732,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197,0.0,1.0,,0.3154833316802978,17535,3507
linear_centroid,blur,5,1,0.7572137561646013,0.9217630415955398,0.8394883988800705,0.969774736241802,0.0108354719133162,0.0022811519817507,0.478471628172227,0.000276207577197,0.0,1.0,,0.1149130463600158,3507,3507
linear_centroid,blur,5,2,0.6492831573809033,0.8086360411893815,0.7289595992851423,0.943541488451668,0.0208155118334759,0.003706871970345,0.4779013401767892,0.000276207577197,0.0,1.0,,0.2178500294685363,3507,3507
linear_centroid,blur,5,3,0.5745200642700707,0.708147749067199,0.641333906668635,0.9210151126318792,0.0313658397490732,0.0051325919589392,0.4770459081836327,0.000276207577197,0.0,1.0,,0.3216424584388733,3507,3507
linear_centroid,blur,5,4,0.5177187898994896,0.6259535998962882,0.571836194897889,0.9010550327915596,0.043056743655546,0.0065583119475335,0.4759053321927573,0.000276207577197,0.0,1.0,,0.4211576581001282,3507,3507
linear_centroid,blur,5,5,0.4709694498785751,0.5574975207539574,0.5142334853162663,0.8808098089535216,0.0507556315939549,0.0079840319361277,0.4761904761904761,0.000276207577197,0.0,1.0,,0.5018534660339355,3507,3507
linear_centroid,clean,5,all,0.593941043518728,0.7243995905004732,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197,0.0,1.0,,0.3154833316802978,17535,3507
linear_centroid,clean,5,1,0.7572137561646013,0.9217630415955398,0.8394883988800705,0.969774736241802,0.0108354719133162,0.0022811519817507,0.478471628172227,0.000276207577197,0.0,1.0,,0.1149130463600158,3507,3507
linear_centroid,clean,5,2,0.6492831573809033,0.8086360411893815,0.7289595992851423,0.943541488451668,0.0208155118334759,0.003706871970345,0.4779013401767892,0.000276207577197,0.0,1.0,,0.2178500294685363,3507,3507
linear_centroid,clean,5,3,0.5745200642700707,0.708147749067199,0.641333906668635,0.9210151126318792,0.0313658397490732,0.0051325919589392,0.4770459081836327,0.000276207577197,0.0,1.0,,0.3216424584388733,3507,3507
linear_centroid,clean,5,4,0.5177187898994896,0.6259535998962882,0.571836194897889,0.9010550327915596,0.043056743655546,0.0065583119475335,0.4759053321927573,0.000276207577197,0.0,1.0,,0.4211576581001282,3507,3507
linear_centroid,clean,5,5,0.4709694498785751,0.5574975207539574,0.5142334853162663,0.8808098089535216,0.0507556315939549,0.0079840319361277,0.4761904761904761,0.000276207577197,0.0,1.0,,0.5018534660339355,3507,3507
linear_centroid,frame_drop,5,all,0.4995651581315946,0.5979098656510791,0.5487375118913369,0.8689478186484174,0.0643284858853721,0.0051325919589392,0.4745366410037068,0.0008509625388519,0.0,1.0,,0.4631879329681396,17535,3507
