method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
object_token_full,distractor,0.3365832360285903,0.8865126889078985,0.0447105788423153,0.0037639007698887,0.056914741944682,0.0150102642592986,-0.2741637585325562,0.703474000175352
object_token_det,distractor,0.2771585413256612,0.8260598503740648,0.0654613466334164,0.0068266832917705,0.1475374064837905,0.0018374000481914,,0.7909281590781604
object_token_det,distractor,0.3599248319809957,0.8930139720558882,0.0429426860564585,0.0050755631593954,0.0901055032791559,0.003556356365198,,0.6296073080842775
object_token_no_geom,distractor,0.1094736751753377,0.3898067331670823,0.4518391521197007,0.0084788029925187,0.0341022443890274,0.0056915839710812,-0.3416660900947924,0.8857072627956879
object_token_no_geom,distractor,0.1173830512643817,0.4211006558311947,0.420302252637582,0.0051325919589392,0.222754491017964,0.0086513059725054,-0.2606634514172494,0.8948916692763678
safeobjworld_r_full,frame_drop,0.5300323055633802,0.9122194513715712,0.0430174563591022,0.0062967581047381,0.2783042394014962,0.0028249386884067,0.1546646722048137,0.4047355383969007
safeobjworld_r_full,frame_drop,0.651839982864474,0.9555175363558596,0.0252067293983461,0.0030795551753635,0.2907898488736812,0.0034561859266612,0.211958768215843,0.2535406267945502
safeobjworld_r_no_temporal,frame_drop,0.5295079975633583,0.9119700748129675,0.0423940149625935,0.0064837905236907,0.2754675810473815,0.0028181641786148,0.1779665320685717,0.4051668053051629
safeobjworld_r_no_temporal,frame_drop,0.6507411274970383,0.9552894211576848,0.0253778157969774,0.0030795551753635,0.2903336184773311,0.003589820209857,0.2008116436357549,0.2542330006775368
safeobjworld_r_no_split,frame_drop,0.5344909532197372,0.911502493765586,0.0405236907730673,0.0070137157107231,0.2723192019950124,0.0029329724418276,0.1679326251946276,0.4013432576583508
safeobjworld_r_no_split,frame_drop,0.6531211444103066,0.9552894211576848,0.0213287710293698,0.0039920159680638,0.2975762760193898,0.0034036717274215,0.2307898524867569,0.2586205804181432
safeobjworld_r_no_area,frame_drop,0.5290925566871618,0.9143079800498752,0.0405236907730673,0.0069201995012468,0.2842581047381546,0.0028431150529117,0.1685632757902926,0.4090672434899872
