method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm_base,noise,10,2,0.6865451202508641,0.7874408191221557,0.7369929696865098,0.9669576059850374,0.0196384039900249,0.0018703241895261,0.3079800498753117,0.0024797403174416,0.0,,0.1545770714556487,3208
convlstm_base,noise,10,3,0.6222284665187933,0.683937690270113,0.6530830783944533,0.951995012468828,0.0277431421446384,0.0021820448877805,0.2983167082294264,0.0024797403174416,0.0,,0.2316149957013546,3208
convlstm_base,noise,10,4,0.570900169294216,0.6004300517253022,0.5856651105097592,0.9373441396508728,0.0336658354114713,0.003428927680798,0.3076683291770573,0.0024797403174416,0.0,,0.311469255168539,3208
convlstm_base,noise,10,5,0.5288767607656959,0.530748092485923,0.5298124266258094,0.9208229426433916,0.0405236907730673,0.0049875311720698,0.2927057356608479,0.0024797403174416,0.0,,0.3754884431189729,3208
convlstm_base,noise,10,6,0.4928659640789752,0.4732031620530005,0.4830345630659879,0.9021197007481296,0.0476932668329177,0.0065461346633416,0.2699501246882793,0.0024797403174416,0.0,,0.4347993800430524,3208
convlstm_base,noise,10,7,0.460973882530019,0.4248703024034769,0.4429220924667479,0.8855985037406484,0.054862842892768,0.0074812967581047,0.2487531172069825,0.0024797403174416,0.0,,0.4949540241883877,3208
convlstm_base,noise,10,8,0.4314799525575968,0.3835488958280837,0.4075144241928402,0.868142144638404,0.0645261845386533,0.0090399002493765,0.2288029925187032,0.0024797403174416,0.0,,0.5506546256362351,3208
convlstm_base,noise,10,9,0.4058758725926363,0.3492460713293315,0.3775609719609839,0.8410224438902744,0.0757481296758104,0.010286783042394,0.206359102244389,0.0024797403174416,0.0,,0.5996892973223232,3208
convlstm_base,noise,10,10,0.3836714959617377,0.32019681060087,0.3519341532813039,0.8154613466334164,0.0866583541147132,0.0112219451371571,0.1889027431421446,0.0024797403174416,0.0,,0.6445247053802757,3208
convlstm_base,occlusion,10,1,0.5615257298315706,0.7781093877392216,0.6698175587853962,0.9713216957605983,0.0174563591022443,0.000935162094763,0.685785536159601,0.0033323810496399,0.0,,0.2521639466285705,3208
convlstm_base,occlusion,10,2,0.4989988522134523,0.6821519358874015,0.590575394050427,0.9516832917705736,0.0277431421446384,0.0015586034912718,0.6630299251870324,0.0033323810496399,0.0,,0.4203241127090263,3208
convlstm_base,occlusion,10,3,0.457344292881313,0.5992856613703165,0.5283149771258148,0.9342269326683292,0.0358478802992518,0.0018703241895261,0.6355985037406484,0.0033323810496399,0.0,,0.5250938348936619,3208
convlstm_base,occlusion,10,4,0.4251888565583305,0.5337203451426967,0.4794546008505136,0.9155236907730672,0.0417705735660847,0.0024937655860349,0.6256234413965087,0.0033323810496399,0.0,,0.6039885574222503,3208
convlstm_base,occlusion,10,5,0.3994980213028328,0.4804340404589221,0.4399660308808775,0.899002493765586,0.0467581047381546,0.003428927680798,0.6069201995012469,0.0033323810496399,0.0,,0.6557611278316325,3208
convlstm_base,occlusion,10,6,0.3771271035526686,0.4350514247974837,0.4060892641750762,0.8765586034912718,0.0561097256857855,0.0049875311720698,0.5860349127182045,0.0033323810496399,0.0,,0.689686180610312,3208
convlstm_base,occlusion,10,7,0.3566372136797914,0.3957464709807634,0.3761918423302774,0.8550498753117207,0.0682668329177057,0.0065461346633416,0.5564214463840399,0.0033323810496399,0.0,,0.7266224178478604,3208
convlstm_base,occlusion,10,8,0.3385758300535347,0.3632918856476421,0.3509338578505884,0.8329177057356608,0.0798004987531172,0.0081047381546134,0.5243142144638404,0.0033323810496399,0.0,,0.748157037352386,3208
convlstm_base,occlusion,10,9,0.3230883718644372,0.3358610562520364,0.3294747140582368,0.8089152119700748,0.091645885286783,0.0093516209476309,0.5003117206982544,0.0033323810496399,0.0,,0.7661260680441845,3208
convlstm_base,occlusion,10,10,0.309014475449904,0.3119111952135262,0.3104628353317151,0.7833541147132169,0.101932668329177,0.010286783042394,0.4735037406483791,0.0033323810496399,0.0,,0.7848412170448803,3208
convlstm_base,blur,5,1,0.7808994267529181,0.9015440775148365,0.8412217521338772,0.9828913601368692,0.013116623895067,0.0008554319931565,0.3139435414884516,0.0030848178742437,0.0,,0.0938673615455627,3507
convlstm_base,blur,5,2,0.694164586215988,0.7923312218439181,0.7432479040299531,0.969774736241802,0.0199600798403193,0.001710863986313,0.3116623895067009,0.0030848178742437,0.0,,0.1505606196903591,3507
convlstm_base,blur,5,3,0.6298105408757032,0.6941478718542196,0.6619792063649613,0.9552323923581408,0.0265183917878528,0.0022811519817507,0.2994011976047904,0.0030848178742437,0.0,,0.234161025749709,3507
convlstm_base,blur,5,4,0.5783889475775572,0.608538130868092,0.5934635392228247,0.93812375249501,0.0350727117194183,0.0028514399771884,0.2825777017393784,0.0030848178742437,0.0,,0.3040798939222755,3507
convlstm_base,blur,5,5,0.5350489019146264,0.5315264416876403,0.5332876718011333,0.9241516966067864,0.043056743655546,0.0039920159680638,0.2526375819788993,0.0030848178742437,0.0,,0.3633882086400058,3507
convlstm_base,clean,5,1,0.7808060291817176,0.9017069744419246,0.8412565018118211,0.9828913601368692,0.0128314798973481,0.0008554319931565,0.3167949814656401,0.0031176162495082,0.0,,0.0933149456977844,3507
convlstm_base,clean,5,2,0.6939775124315449,0.7926212392983141,0.7432993758649294,0.9689193042486456,0.0193897918448816,0.001710863986313,0.311377245508982,0.0031176162495082,0.0,,0.1514688089324226,3507
convlstm_base,clean,5,3,0.62953127387304,0.6939586991718204,0.6617449865224302,0.9555175363558596,0.0259481037924151,0.0022811519817507,0.3011120615911035,0.0031176162495082,0.0,,0.2339464497593416,3507
convlstm_base,clean,5,4,0.5781033728298792,0.6082863331819417,0.5931948530059105,0.9375534644995724,0.0347875677216994,0.0028514399771884,0.2820074137439406,0.0031176162495082,0.0,,0.3053141793261099,3507
convlstm_base,clean,5,5,0.5346925772634069,0.5310826238881786,0.5328876005757928,0.9238665526090676,0.0427715996578272,0.0039920159680638,0.2557741659538067,0.0031176162495082,0.0,,0.3643615676835285,3507
