method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,components,mce,pred_area,gt_area,uncertainty,confidence,brier_iou50,uec,ece_iou50,aurc_unc,selective_jf_80,n_rows,n_samples
convlstm_base,lowlight,10,7,0.4560694088967219,0.4182629093574201,0.4371661591270711,0.8728179551122195,0.0698254364089775,0.0074812967581047,0.2316084788029925,1.3182668329177056,0.0025604512042349,0.066923662049845,0.0603258614396084,0.0,0.9835340542686252,0.5042504995987005,,0.5047310590744019,0.5887021404500643,0.4335170090198517,3208,3208
convlstm_base,lowlight,10,8,0.4265914151392017,0.3761363593177138,0.4013638872284577,0.8534912718204489,0.0807356608478803,0.0087281795511221,0.2116583541147132,1.2711970074812968,0.0025604512042349,0.0679489647328077,0.0604134736942366,0.0,0.981448356647444,0.5572571953633182,,0.5596902584308697,0.619407574528943,0.3986605703830719,3208,3208
convlstm_base,lowlight,10,9,0.4008148922819032,0.3416165880824149,0.3712157401821591,0.8269950124688279,0.0913341645885286,0.0099750623441396,0.1907730673316708,1.2400249376558603,0.0025604512042349,0.0689527131606747,0.0604720227967407,0.0,0.9793375448098504,0.5940515963811233,,0.5981031255866227,0.6455592012793155,0.3696244359016418,3208,3208
convlstm_base,lowlight,10,10,0.378104342565762,0.3126163686692746,0.3453603556175183,0.8095386533665836,0.105361596009975,0.0112219451371571,0.1645885286783042,1.1970074812967582,0.0025604512042349,0.0699494600494207,0.0604981094491419,0.0,0.9771716339035224,0.632492583440129,,0.6386429779324448,0.6688270668024765,0.3441931903362274,3208,3208
convlstm_base,noise,10,all,0.5355920558948638,0.544991101110617,0.5402915785027405,0.9072007481296758,0.0464775561097256,0.0057980049875311,0.2656483790523691,1.4528678304239402,0.0024797403174416,0.0677937732505217,0.0600551242675104,0.0,0.9865012913273457,0.3894959973947068,,0.3896807682521622,0.5010832422563318,0.535068154335022,32080,3208
convlstm_base,noise,10,1,0.772502874398104,0.8962891152879132,0.8343959948430087,0.9825436408977556,0.013715710723192,0.000935162094763,0.3070448877805486,1.763715710723192,0.0024797403174416,0.0610371856816292,0.0593433797640231,0.0,0.9964805089327464,0.1019899875594493,,0.0990366339683532,0.2545021394079839,0.8251027464866638,3208,3208
convlstm_base,noise,10,2,0.6865451202508641,0.7874408191221557,0.7369929696865098,0.9669576059850374,0.0196384039900249,0.0018703241895261,0.3079800498753117,1.635286783042394,0.0024797403174416,0.0621994496316716,0.0595522336465693,0.0,0.9940409291712126,0.1580713106658393,,0.1545770714556487,0.3404857021949519,0.7278327941894531,3208,3208
convlstm_base,noise,10,3,0.6222284665187933,0.683937690270113,0.6530830783944533,0.951995012468828,0.0277431421446384,0.0021820448877805,0.2983167082294264,1.5448877805486283,0.0024797403174416,0.0641060076317452,0.0597427127169056,0.0,0.9919018067623908,0.2347550975562925,,0.2316149957013546,0.4086382522780226,0.6443638205528259,3208,3208
convlstm_base,noise,10,4,0.570900169294216,0.6004300517253022,0.5856651105097592,0.9373441396508728,0.0336658354114713,0.003428927680798,0.3076683291770573,1.5143391521197007,0.0024797403174416,0.0656833749096226,0.0599221905766183,0.0,0.989773491076995,0.3139539942182507,,0.311469255168539,0.464096481866784,0.5774308443069458,3208,3208
convlstm_base,noise,10,5,0.5288767607656959,0.530748092485923,0.5298124266258094,0.9208229426433916,0.0405236907730673,0.0049875311720698,0.2927057356608479,1.4616583541147132,0.0024797403174416,0.0672589833467546,0.0600730872742189,0.0,0.9877078848289432,0.3771817380204759,,0.3754884431189729,0.509560923690606,0.5231066942214966,3208,3208
