method,stress,jf,ops,vanish,hallucination,split,mce
linear_centroid,clean,0.5258047049854141,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726
linear_centroid,clean,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197
linear_centroid_scale,clean,0.4977594635718718,0.842861596009975,0.0776807980049875,0.0073566084788029,0.4550498753117207,0.001477871505409
linear_centroid_scale,clean,0.6365146270211725,0.9179925862560592,0.034901625320787,0.0043912175648702,0.4619903051040775,0.0012572706094337
flow_warp,clean,0.5314707997926593,0.8630299251870324,0.0641521197007481,0.0084164588528678,0.5971945137157108,0.0015035365284856
flow_warp,clean,0.6682940751191091,0.9255774165953806,0.0301112061591103,0.0051325919589392,0.5376675220986599,0.0015904295542703
flow_linear_fallback,clean,0.5454785347705556,0.8716645885286783,0.0588840399002493,0.0084788029925187,0.5227244389027431,0.0014340785144056
flow_linear_fallback,clean,0.6756083842759751,0.9276304533789564,0.0288565725691474,0.0051325919589392,0.5182207014542344,0.0034445075827978
convlstm_base,clean,0.5399808571738327,0.9070137157107232,0.0466022443890274,0.0057668329177057,0.2646508728179551,0.0024811851650356
convlstm_base,clean,0.6744766635561769,0.9537496435700028,0.0271457085828343,0.0023381807812945,0.2934131736526946,0.0031176162495082
convlstm_stress,clean,0.538377153402537,0.9063279301745636,0.047288029925187,0.0058291770573566,0.2756234413965087,0.0023852083391459
convlstm_stress,clean,0.6700210798900075,0.9550613059595096,0.0255489021956087,0.0026803535785571,0.2819503849443969,0.002992841972984
safeobjworld_r_full,clean,0.5396114943936091,0.915430174563591,0.0407730673316708,0.0066708229426433,0.2738778054862842,0.0026079144590256
safeobjworld_r_full,clean,0.6643805099294362,0.9575135443398916,0.0226404334188765,0.0030795551753635,0.276475620188195,0.0029501878377922
safeobjworld_r_no_temporal,clean,0.5395568894704542,0.914993765586035,0.0410847880299251,0.0067643391521197,0.2739401496259351,0.0025969669829973
safeobjworld_r_no_temporal,clean,0.6638512835205747,0.9577416595380668,0.0225263758197889,0.0030795551753635,0.2731679498146564,0.0030377506813495
safeobjworld_r_no_split,clean,0.5429286209951563,0.9160536159600996,0.0391209476309226,0.0069513715710723,0.2700436408977556,0.0026595998900304
safeobjworld_r_no_split,clean,0.6699855209401435,0.9584830339321356,0.0197319646421442,0.0039920159680638,0.282406615340747,0.0028983871523371
safeobjworld_r_no_area,clean,0.5392939554601996,0.9174251870324188,0.0379052369077306,0.006577306733167,0.2797693266832918,0.0025343017384786
safeobjworld_r_no_area,clean,0.6635173818215226,0.9572854291417164,0.0226974622184203,0.003193612774451,0.2813800969489592,0.0031034317641934
safeobjworld_r_no_stress,clean,0.5459932957284795,0.9122506234413964,0.0432044887780548,0.0062032418952618,0.3002493765586035,0.002794566879734
safeobjworld_r_no_stress,clean,0.6768074864160838,0.9609923011120616,0.0193897918448816,0.0039349871685201,0.2753350441973196,0.0028138151550872
safeobjworld_r_det,clean,0.5380244352812745,0.911845386533666,0.0444201995012468,0.0058915211970074,0.2308915211970074,0.0018278946494923
safeobjworld_r_det,clean,0.6684034873592523,0.9550042771599658,0.0257770173937838,0.0026233247790134,0.2837182777302537,0.0028585407487187
safeobjworld_r_image_only,clean,0.120298594992372,0.360006234413965,0.410785536159601,0.0084788029925187,0.6347256857855361,0.017227997685075
safeobjworld_r_image_only,clean,0.1628111332773619,0.5236954662104363,0.1850584545195323,0.0051325919589392,0.9393783860849728,0.0205276425392218
safeobjworld_r_mask_only,clean,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436
safeobjworld_r_mask_only,clean,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167
object_token_full,clean,0.2845571249859662,0.856140897755611,0.0547069825436409,0.0083229426433915,0.1246882793017456,0.0135352531273401
object_token_full,clean,0.3360089353539298,0.8853721129170231,0.0444824636441402,0.0038779583689763,0.0571428571428571,0.0149066744041288
object_token_det,clean,0.2755296945061518,0.8220386533665835,0.0671134663341646,0.0068266832917705,0.1469763092269326,0.0018051565747084
object_token_det,clean,0.3578067147291707,0.8924436840604505,0.0429997148560022,0.0050755631593954,0.0871970345024237,0.0035617247088758
object_token_no_geom,clean,0.1097496752663606,0.389214463840399,0.4510286783042394,0.0084788029925187,0.0317643391521197,0.0056771645937109
object_token_no_geom,clean,0.1174441264523298,0.4201881950384944,0.4192757342457941,0.0051325919589392,0.2072996863416025,0.0082803972311528
copy_last,distractor,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,distractor,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
linear_centroid,distractor,0.5258047049854141,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726
