====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_geom",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_geom device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_geom/H5
[train:safeobj_no_geom:H5] epoch=3/8 step=975/1086 loss=0.9607
[train:safeobj_no_geom:H5] epoch=3/8 step=1000/1086 loss=0.9670
[train:safeobj_no_geom:H5] epoch=3/8 step=1025/1086 loss=0.9435
[train:safeobj_no_geom:H5] epoch=3/8 step=1050/1086 loss=0.9816
[train:safeobj_no_geom:H5] epoch=3/8 step=1075/1086 loss=0.9654
[epoch done:safeobj_no_geom:H5] epoch=3 train=0.9812 val=1.0483 best=1.0279
[train:safeobj_no_geom:H5] epoch=4/8 step=0/1086 loss=0.9430
[train:safeobj_no_geom:H5] epoch=4/8 step=25/1086 loss=0.9460
[train:safeobj_no_geom:H5] epoch=4/8 step=50/1086 loss=0.9516
[train:safeobj_no_geom:H5] epoch=4/8 step=75/1086 loss=0.9384
[train:safeobj_no_geom:H5] epoch=4/8 step=100/1086 loss=0.9312
[train:safeobj_no_geom:H5] epoch=4/8 step=125/1086 loss=0.9624
[train:safeobj_no_geom:H5] epoch=4/8 step=150/1086 loss=0.9498
[train:safeobj_no_geom:H5] epoch=4/8 step=175/1086 loss=0.9634
[train:safeobj_no_geom:H5] epoch=4/8 step=200/1086 loss=0.9267
[train:safeobj_no_geom:H5] epoch=4/8 step=225/1086 loss=0.9215
[train:safeobj_no_geom:H5] epoch=4/8 step=250/1086 loss=0.9321
[train:safeobj_no_geom:H5] epoch=4/8 step=275/1086 loss=0.9056
[train:safeobj_no_geom:H5] epoch=4/8 step=300/1086 loss=0.9399
[train:safeobj_no_geom:H5] epoch=4/8 step=325/1086 loss=0.9637
[train:safeobj_no_geom:H5] epoch=4/8 step=350/1086 loss=0.9226
[train:safeobj_no_geom:H5] epoch=4/8 step=375/1086 loss=0.9840
[train:safeobj_no_geom:H5] epoch=4/8 step=400/1086 loss=0.9592
[train:safeobj_no_geom:H5] epoch=4/8 step=425/1086 loss=0.9416
[train:safeobj_no_geom:H5] epoch=4/8 step=450/1086 loss=0.9419
[train:safeobj_no_geom:H5] epoch=4/8 step=475/1086 loss=0.9198
[train:safeobj_no_geom:H5] epoch=4/8 step=500/1086 loss=0.9180
[train:safeobj_no_geom:H5] epoch=4/8 step=525/1086 loss=0.9331
[train:safeobj_no_geom:H5] epoch=4/8 step=550/1086 loss=0.9472
[train:safeobj_no_geom:H5] epoch=4/8 step=575/1086 loss=0.9406
[train:safeobj_no_geom:H5] epoch=4/8 step=600/1086 loss=0.9820
[train:safeobj_no_geom:H5] epoch=4/8 step=625/1086 loss=0.9242
[train:safeobj_no_geom:H5] epoch=4/8 step=650/1086 loss=0.9089
[train:safeobj_no_geom:H5] epoch=4/8 step=675/1086 loss=0.9260
[train:safeobj_no_geom:H5] epoch=4/8 step=700/1086 loss=0.9771
[train:safeobj_no_geom:H5] epoch=4/8 step=725/1086 loss=0.9615
[train:safeobj_no_geom:H5] epoch=4/8 step=750/1086 loss=0.9450
[train:safeobj_no_geom:H5] epoch=4/8 step=775/1086 loss=0.9334
[train:safeobj_no_geom:H5] epoch=4/8 step=800/1086 loss=0.9488
[train:safeobj_no_geom:H5] epoch=4/8 step=825/1086 loss=0.9334
[train:safeobj_no_geom:H5] epoch=4/8 step=850/1086 loss=0.9331
[train:safeobj_no_geom:H5] epoch=4/8 step=875/1086 loss=0.9696
[train:safeobj_no_geom:H5] epoch=4/8 step=900/1086 loss=0.9348
[train:safeobj_no_geom:H5] epoch=4/8 step=925/1086 loss=0.9107
[train:safeobj_no_geom:H5] epoch=4/8 step=950/1086 loss=0.9414
[train:safeobj_no_geom:H5] epoch=4/8 step=975/1086 loss=0.9153
[train:safeobj_no_geom:H5] epoch=4/8 step=1000/1086 loss=0.9713
[train:safeobj_no_geom:H5] epoch=4/8 step=1025/1086 loss=0.9392
[train:safeobj_no_geom:H5] epoch=4/8 step=1050/1086 loss=0.9469
[train:safeobj_no_geom:H5] epoch=4/8 step=1075/1086 loss=0.9437
[epoch done:safeobj_no_geom:H5] epoch=4 train=0.9394 val=1.0469 best=1.0279
[train:safeobj_no_geom:H5] epoch=5/8 step=0/1086 loss=0.8077
[train:safeobj_no_geom:H5] epoch=5/8 step=25/1086 loss=0.9296
[train:safeobj_no_geom:H5] epoch=5/8 step=50/1086 loss=0.9367
[train:safeobj_no_geom:H5] epoch=5/8 step=75/1086 loss=0.9189
[train:safeobj_no_geom:H5] epoch=5/8 step=100/1086 loss=0.9034
[train:safeobj_no_geom:H5] epoch=5/8 step=125/1086 loss=0.9616
[train:safeobj_no_geom:H5] epoch=5/8 step=150/1086 loss=0.9153
[train:safeobj_no_geom:H5] epoch=5/8 step=175/1086 loss=0.8956
[train:safeobj_no_geom:H5] epoch=5/8 step=200/1086 loss=0.9161
[train:safeobj_no_geom:H5] epoch=5/8 step=225/1086 loss=0.9233
[train:safeobj_no_geom:H5] epoch=5/8 step=250/1086 loss=0.9037
[train:safeobj_no_geom:H5] epoch=5/8 step=275/1086 loss=0.9232
[train:safeobj_no_geom:H5] epoch=5/8 step=300/1086 loss=0.9273
[train:safeobj_no_geom:H5] epoch=5/8 step=325/1086 loss=0.9299
[train:safeobj_no_geom:H5] epoch=5/8 step=350/1086 loss=0.9142
[train:safeobj_no_geom:H5] epoch=5/8 step=375/1086 loss=0.9450
[train:safeobj_no_geom:H5] epoch=5/8 step=400/1086 loss=0.9255
[train:safeobj_no_geom:H5] epoch=5/8 step=425/1086 loss=0.9241
[train:safeobj_no_geom:H5] epoch=5/8 step=450/1086 loss=0.8958
[train:safeobj_no_geom:H5] epoch=5/8 step=475/1086 loss=0.8945
[train:safeobj_no_geom:H5] epoch=5/8 step=500/1086 loss=0.8737
[train:safeobj_no_geom:H5] epoch=5/8 step=525/1086 loss=0.9025
[train:safeobj_no_geom:H5] epoch=5/8 step=550/1086 loss=0.9144
[train:safeobj_no_geom:H5] epoch=5/8 step=575/1086 loss=0.9367
[train:safeobj_no_geom:H5] epoch=5/8 step=600/1086 loss=0.8872
[train:safeobj_no_geom:H5] epoch=5/8 step=625/1086 loss=0.8903
[train:safeobj_no_geom:H5] epoch=5/8 step=650/1086 loss=0.8718
[train:safeobj_no_geom:H5] epoch=5/8 step=675/1086 loss=0.9059
[train:safeobj_no_geom:H5] epoch=5/8 step=700/1086 loss=0.9123
[train:safeobj_no_geom:H5] epoch=5/8 step=725/1086 loss=0.8915
[train:safeobj_no_geom:H5] epoch=5/8 step=750/1086 loss=0.9017
[train:safeobj_no_geom:H5] epoch=5/8 step=775/1086 loss=0.8928
[train:safeobj_no_geom:H5] epoch=5/8 step=800/1086 loss=0.8881
