====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "convlstm",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.0,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=convlstm device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/convlstm/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:convlstm:H5] epoch=4/8 step=250/1086 loss=0.4491
[train:convlstm:H5] epoch=4/8 step=275/1086 loss=0.4549
[train:convlstm:H5] epoch=4/8 step=300/1086 loss=0.4577
[train:convlstm:H5] epoch=4/8 step=325/1086 loss=0.4483
[train:convlstm:H5] epoch=4/8 step=350/1086 loss=0.4643
[train:convlstm:H5] epoch=4/8 step=375/1086 loss=0.4345
[train:convlstm:H5] epoch=4/8 step=400/1086 loss=0.4040
[train:convlstm:H5] epoch=4/8 step=425/1086 loss=0.4536
[train:convlstm:H5] epoch=4/8 step=450/1086 loss=0.3987
[train:convlstm:H5] epoch=4/8 step=475/1086 loss=0.4248
[train:convlstm:H5] epoch=4/8 step=500/1086 loss=0.3983
[train:convlstm:H5] epoch=4/8 step=525/1086 loss=0.4119
[train:convlstm:H5] epoch=4/8 step=550/1086 loss=0.4229
[train:convlstm:H5] epoch=4/8 step=575/1086 loss=0.4272
[train:convlstm:H5] epoch=4/8 step=600/1086 loss=0.4358
[train:convlstm:H5] epoch=4/8 step=625/1086 loss=0.4188
[train:convlstm:H5] epoch=4/8 step=650/1086 loss=0.4837
[train:convlstm:H5] epoch=4/8 step=675/1086 loss=0.4413
[train:convlstm:H5] epoch=4/8 step=700/1086 loss=0.4026
[train:convlstm:H5] epoch=4/8 step=725/1086 loss=0.4219
[train:convlstm:H5] epoch=4/8 step=750/1086 loss=0.4276
[train:convlstm:H5] epoch=4/8 step=775/1086 loss=0.4024
[train:convlstm:H5] epoch=4/8 step=800/1086 loss=0.4241
[train:convlstm:H5] epoch=4/8 step=825/1086 loss=0.4494
[train:convlstm:H5] epoch=4/8 step=850/1086 loss=0.4258
[train:convlstm:H5] epoch=4/8 step=875/1086 loss=0.4422
[train:convlstm:H5] epoch=4/8 step=900/1086 loss=0.4020
[train:convlstm:H5] epoch=4/8 step=925/1086 loss=0.4448
[train:convlstm:H5] epoch=4/8 step=950/1086 loss=0.4438
[train:convlstm:H5] epoch=4/8 step=975/1086 loss=0.4332
[train:convlstm:H5] epoch=4/8 step=1000/1086 loss=0.3893
[train:convlstm:H5] epoch=4/8 step=1025/1086 loss=0.4255
[train:convlstm:H5] epoch=4/8 step=1050/1086 loss=0.3919
[train:convlstm:H5] epoch=4/8 step=1075/1086 loss=0.4212
