====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_det",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_det device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_det/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:safeobj_det:H5] epoch=2/8 step=1050/1086 loss=0.7451
[train:safeobj_det:H5] epoch=2/8 step=1075/1086 loss=0.7493
[epoch done:safeobj_det:H5] epoch=2 train=0.8297 val=0.7925 best=0.7925
[train:safeobj_det:H5] epoch=3/8 step=0/1086 loss=0.7426
[train:safeobj_det:H5] epoch=3/8 step=25/1086 loss=0.7580
[train:safeobj_det:H5] epoch=3/8 step=50/1086 loss=0.7414
[train:safeobj_det:H5] epoch=3/8 step=75/1086 loss=0.7834
[train:safeobj_det:H5] epoch=3/8 step=100/1086 loss=0.7349
[train:safeobj_det:H5] epoch=3/8 step=125/1086 loss=0.7075
[train:safeobj_det:H5] epoch=3/8 step=150/1086 loss=0.7258
[train:safeobj_det:H5] epoch=3/8 step=175/1086 loss=0.7048
[train:safeobj_det:H5] epoch=3/8 step=200/1086 loss=0.7003
[train:safeobj_det:H5] epoch=3/8 step=225/1086 loss=0.7502
[train:safeobj_det:H5] epoch=3/8 step=250/1086 loss=0.7192
[train:safeobj_det:H5] epoch=3/8 step=275/1086 loss=0.7428
[train:safeobj_det:H5] epoch=3/8 step=300/1086 loss=0.7307
[train:safeobj_det:H5] epoch=3/8 step=325/1086 loss=0.6996
[train:safeobj_det:H5] epoch=3/8 step=350/1086 loss=0.6929
[train:safeobj_det:H5] epoch=3/8 step=375/1086 loss=0.7258
[train:safeobj_det:H5] epoch=3/8 step=400/1086 loss=0.7045
[train:safeobj_det:H5] epoch=3/8 step=425/1086 loss=0.6936
[train:safeobj_det:H5] epoch=3/8 step=450/1086 loss=0.7040
[train:safeobj_det:H5] epoch=3/8 step=475/1086 loss=0.7366
[train:safeobj_det:H5] epoch=3/8 step=500/1086 loss=0.7178
[train:safeobj_det:H5] epoch=3/8 step=525/1086 loss=0.7235
[train:safeobj_det:H5] epoch=3/8 step=550/1086 loss=0.7454
[train:safeobj_det:H5] epoch=3/8 step=575/1086 loss=0.6981
[train:safeobj_det:H5] epoch=3/8 step=600/1086 loss=0.6813
[train:safeobj_det:H5] epoch=3/8 step=625/1086 loss=0.6972
[train:safeobj_det:H5] epoch=3/8 step=650/1086 loss=0.7104
[train:safeobj_det:H5] epoch=3/8 step=675/1086 loss=0.6748
[train:safeobj_det:H5] epoch=3/8 step=700/1086 loss=0.7246
