====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_full",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_full device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_full/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:safeobj_full:H5] epoch=6/8 step=800/1086 loss=0.6365
[train:safeobj_full:H5] epoch=6/8 step=825/1086 loss=0.6276
[train:safeobj_full:H5] epoch=6/8 step=850/1086 loss=0.6517
[train:safeobj_full:H5] epoch=6/8 step=875/1086 loss=0.6802
[train:safeobj_full:H5] epoch=6/8 step=900/1086 loss=0.6099
[train:safeobj_full:H5] epoch=6/8 step=925/1086 loss=0.6354
[train:safeobj_full:H5] epoch=6/8 step=950/1086 loss=0.6980
[train:safeobj_full:H5] epoch=6/8 step=975/1086 loss=0.6198
[train:safeobj_full:H5] epoch=6/8 step=1000/1086 loss=0.6522
[train:safeobj_full:H5] epoch=6/8 step=1025/1086 loss=0.6025
[train:safeobj_full:H5] epoch=6/8 step=1050/1086 loss=0.6447
[train:safeobj_full:H5] epoch=6/8 step=1075/1086 loss=0.6581
[epoch done:safeobj_full:H5] epoch=6 train=0.6539 val=0.6896 best=0.6802
[train:safeobj_full:H5] epoch=7/8 step=0/1086 loss=0.5899
[train:safeobj_full:H5] epoch=7/8 step=25/1086 loss=0.6439
[train:safeobj_full:H5] epoch=7/8 step=50/1086 loss=0.6707
[train:safeobj_full:H5] epoch=7/8 step=75/1086 loss=0.6320
[train:safeobj_full:H5] epoch=7/8 step=100/1086 loss=0.6702
[train:safeobj_full:H5] epoch=7/8 step=125/1086 loss=0.6249
[train:safeobj_full:H5] epoch=7/8 step=150/1086 loss=0.6452
[train:safeobj_full:H5] epoch=7/8 step=175/1086 loss=0.6319
[train:safeobj_full:H5] epoch=7/8 step=200/1086 loss=0.6384
[train:safeobj_full:H5] epoch=7/8 step=225/1086 loss=0.6419
[train:safeobj_full:H5] epoch=7/8 step=250/1086 loss=0.6221
[train:safeobj_full:H5] epoch=7/8 step=275/1086 loss=0.6180
[train:safeobj_full:H5] epoch=7/8 step=300/1086 loss=0.6579
[train:safeobj_full:H5] epoch=7/8 step=325/1086 loss=0.6388
[train:safeobj_full:H5] epoch=7/8 step=350/1086 loss=0.6543
[train:safeobj_full:H5] epoch=7/8 step=375/1086 loss=0.6218
[train:safeobj_full:H5] epoch=7/8 step=400/1086 loss=0.6253
[train:safeobj_full:H5] epoch=7/8 step=425/1086 loss=0.6750
[train:safeobj_full:H5] epoch=7/8 step=450/1086 loss=0.6635
[train:safeobj_full:H5] epoch=7/8 step=475/1086 loss=0.6411
[train:safeobj_full:H5] epoch=7/8 step=500/1086 loss=0.6587
[train:safeobj_full:H5] epoch=7/8 step=525/1086 loss=0.6376
[train:safeobj_full:H5] epoch=7/8 step=550/1086 loss=0.6674
[train:safeobj_full:H5] epoch=7/8 step=575/1086 loss=0.6081
[train:safeobj_full:H5] epoch=7/8 step=600/1086 loss=0.6195
[train:safeobj_full:H5] epoch=7/8 step=625/1086 loss=0.6833
[train:safeobj_full:H5] epoch=7/8 step=650/1086 loss=0.6316
[train:safeobj_full:H5] epoch=7/8 step=675/1086 loss=0.6506
[train:safeobj_full:H5] epoch=7/8 step=700/1086 loss=0.6706
[train:safeobj_full:H5] epoch=7/8 step=725/1086 loss=0.5845
[train:safeobj_full:H5] epoch=7/8 step=750/1086 loss=0.6631
[train:safeobj_full:H5] epoch=7/8 step=775/1086 loss=0.6497
[train:safeobj_full:H5] epoch=7/8 step=800/1086 loss=0.6442
[train:safeobj_full:H5] epoch=7/8 step=825/1086 loss=0.6166
[train:safeobj_full:H5] epoch=7/8 step=850/1086 loss=0.6077
[train:safeobj_full:H5] epoch=7/8 step=875/1086 loss=0.6459
[train:safeobj_full:H5] epoch=7/8 step=900/1086 loss=0.6323
[train:safeobj_full:H5] epoch=7/8 step=925/1086 loss=0.6335
[train:safeobj_full:H5] epoch=7/8 step=950/1086 loss=0.6622
[train:safeobj_full:H5] epoch=7/8 step=975/1086 loss=0.6282
[train:safeobj_full:H5] epoch=7/8 step=1000/1086 loss=0.6053
[train:safeobj_full:H5] epoch=7/8 step=1025/1086 loss=0.6165
[train:safeobj_full:H5] epoch=7/8 step=1050/1086 loss=0.6578
[train:safeobj_full:H5] epoch=7/8 step=1075/1086 loss=0.6098
[epoch done:safeobj_full:H5] epoch=7 train=0.6374 val=0.6846 best=0.6802
[train:safeobj_full:H5] epoch=8/8 step=0/1086 loss=0.7005
[train:safeobj_full:H5] epoch=8/8 step=25/1086 loss=0.6192
[train:safeobj_full:H5] epoch=8/8 step=50/1086 loss=0.6134
[train:safeobj_full:H5] epoch=8/8 step=75/1086 loss=0.6364
[train:safeobj_full:H5] epoch=8/8 step=100/1086 loss=0.6157
[train:safeobj_full:H5] epoch=8/8 step=125/1086 loss=0.6497
[train:safeobj_full:H5] epoch=8/8 step=150/1086 loss=0.5931
[train:safeobj_full:H5] epoch=8/8 step=175/1086 loss=0.6554
