====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
[train:safeobj_no_stress:H5] epoch=3/8 step=125/1086 loss=0.7357
[train:safeobj_no_stress:H5] epoch=3/8 step=150/1086 loss=0.7578
[train:safeobj_no_stress:H5] epoch=3/8 step=175/1086 loss=0.7378
[train:safeobj_no_stress:H5] epoch=3/8 step=200/1086 loss=0.7232
[train:safeobj_no_stress:H5] epoch=3/8 step=225/1086 loss=0.7627
[train:safeobj_no_stress:H5] epoch=3/8 step=250/1086 loss=0.7591
[train:safeobj_no_stress:H5] epoch=3/8 step=275/1086 loss=0.7696
[train:safeobj_no_stress:H5] epoch=3/8 step=300/1086 loss=0.7373
[train:safeobj_no_stress:H5] epoch=3/8 step=325/1086 loss=0.7310
[train:safeobj_no_stress:H5] epoch=3/8 step=350/1086 loss=0.7155
[train:safeobj_no_stress:H5] epoch=3/8 step=375/1086 loss=0.7495
[train:safeobj_no_stress:H5] epoch=3/8 step=400/1086 loss=0.7311
[train:safeobj_no_stress:H5] epoch=3/8 step=425/1086 loss=0.7322
[train:safeobj_no_stress:H5] epoch=3/8 step=450/1086 loss=0.7208
[train:safeobj_no_stress:H5] epoch=3/8 step=475/1086 loss=0.7525
[train:safeobj_no_stress:H5] epoch=3/8 step=500/1086 loss=0.7444
[train:safeobj_no_stress:H5] epoch=3/8 step=525/1086 loss=0.7612
[train:safeobj_no_stress:H5] epoch=3/8 step=550/1086 loss=0.7923
[train:safeobj_no_stress:H5] epoch=3/8 step=575/1086 loss=0.7351
[train:safeobj_no_stress:H5] epoch=3/8 step=600/1086 loss=0.7092
[train:safeobj_no_stress:H5] epoch=3/8 step=625/1086 loss=0.7337
[train:safeobj_no_stress:H5] epoch=3/8 step=650/1086 loss=0.7368
[train:safeobj_no_stress:H5] epoch=3/8 step=675/1086 loss=0.7238
[train:safeobj_no_stress:H5] epoch=3/8 step=700/1086 loss=0.7658
[train:safeobj_no_stress:H5] epoch=3/8 step=725/1086 loss=0.7235
[train:safeobj_no_stress:H5] epoch=3/8 step=750/1086 loss=0.7584
[train:safeobj_no_stress:H5] epoch=3/8 step=775/1086 loss=0.7177
[train:safeobj_no_stress:H5] epoch=3/8 step=800/1086 loss=0.7583
[train:safeobj_no_stress:H5] epoch=3/8 step=825/1086 loss=0.7542
[train:safeobj_no_stress:H5] epoch=3/8 step=850/1086 loss=0.7195
